"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SMC3",0.00863627241183457,0.323373993591175,0.403,0.331,1
"PUM1",0.00863737484987601,0.385666810820001,0.353,0.286,1
"ADSS",0.00875837415875844,0.261481531271413,0.471,0.392,1
"MAT2A",0.00879694653916743,0.465911757171763,0.281,0.22,1
"SNX5",0.00879743238660034,0.302356402233999,0.353,0.285,1
"CNOT1",0.00881144834735846,0.398875830186416,0.342,0.274,1
"GABRB3",0.00886559700222322,0.440914493091469,0.491,0.441,1
"PIK3C2A",0.00894545343588699,0.285966982226235,0.307,0.24,1
"ASXL1",0.00912580672816113,0.398617063731456,0.349,0.286,1
"CLU",0.00924320721959811,-0.278277441550134,0.849,0.856,1
"PCYOX1",0.00924623005495635,0.323864082405344,0.283,0.22,1
"VTI1B",0.00938737642479266,0.312240066158224,0.369,0.297,1
"CDK2AP2",0.00952439298395823,0.353228186151649,0.339,0.266,1
"BRD9",0.0096110078831381,0.397357710339638,0.356,0.291,1
"PPP2CA",0.00963140634491127,0.298619784385693,0.343,0.272,1
"UBE2A",0.00978037696178309,0.325194766809141,0.327,0.26,1
"BRD4",0.00988416768453058,0.300469562456666,0.365,0.289,1
"CDC42",0.00992503968411259,0.250278659734355,0.6,0.539,1
"MRPL55",0.0101408449656168,0.301963728771659,0.41,0.345,1
"PTPN11",0.0102057761245039,0.276312261730855,0.427,0.345,1
"UBE2R2",0.0102240059590699,0.323385447567285,0.462,0.412,1
"YME1L1",0.0103803925435781,0.304948088786474,0.422,0.367,1
"KDM2A",0.0104938331384052,0.388524061633091,0.31,0.246,1
"SF3B1",0.010877307908429,0.329519652522405,0.368,0.3,1
"ZNF480",0.01114816497666,-0.432048599980788,0.254,0.303,1
"SUDS3",0.0112009095630098,0.325245156286482,0.391,0.324,1
"C1orf131",0.0112036927437684,0.295559117332041,0.379,0.308,1
"CSNK1A1",0.0113191862956659,0.389147372754657,0.404,0.342,1
"PAPPA",0.01137446505095,-0.328251394118358,0.56,0.585,1
"SLC39A10",0.0118610850340496,0.270238682632866,0.442,0.378,1
"HUWE1",0.0118687711872622,0.331944058879966,0.403,0.336,1
"TMEM183A",0.0119063617860425,0.31871667780387,0.31,0.243,1
"TACC2",0.012115116853504,-0.315600017080025,0.331,0.392,1
"BAX",0.0122881675661011,0.255488636697998,0.504,0.437,1
"LSM14A",0.0124741314277366,0.358415917157469,0.41,0.347,1
"GRINA",0.0125012350538025,-0.402277785860958,0.231,0.289,1
"METRN",0.0125155056583487,-0.338656434695446,0.269,0.328,1
"CBX1",0.0125381326981759,0.261954231881218,0.657,0.615,1
"LARP1",0.0125399067734286,0.297769948324688,0.401,0.336,1
"G3BP2",0.0125503774448004,-0.322691664959693,0.324,0.382,1
"ARHGAP35",0.012605324000198,0.331619388926909,0.318,0.255,1
"CLASP2",0.0134247907255605,-0.306991894788058,0.199,0.255,1
"FGFR1",0.0135560098381399,-0.503568197019153,0.206,0.26,1
"MPHOSPH6",0.0135617695452011,0.308967647965336,0.305,0.243,1
"MYBL2",0.013705886099919,0.330700336598947,0.289,0.231,1
"MPZL1",0.0137919647216706,0.335547612316085,0.301,0.234,1
"HACD3",0.0140705812276426,0.319336335492682,0.417,0.353,1
"SRPK1",0.0141175176545849,0.352536941777003,0.315,0.252,1
"ATF4",0.0141492762591031,0.46545954768853,0.291,0.24,1
"RNPS1",0.0141532041426392,0.373042968007763,0.448,0.379,1
"SMARCC1",0.0143179593689139,0.384174004213249,0.328,0.269,1
